timestamp=0.366092,2C1=1
timestamp=0.368902,340=1
timestamp=0.370138,20=1
timestamp=0.370384,223=1
timestamp=0.370632,B4=1
timestamp=0.371033,25=1
timestamp=0.371728,22=1
timestamp=0.371951,23=1
timestamp=0.372187,2C4=1
timestamp=0.373019,2C6=1
timestamp=0.376225,B0=1
timestamp=0.376477,224=1
timestamp=0.376685,B2=1
timestamp=0.382191,20=1
timestamp=0.382459,B4=1
timestamp=0.383044,25=1
timestamp=0.383786,22=1
timestamp=0.384010,23=1
timestamp=0.387733,5CD=1
timestamp=0.388277,B0=1
timestamp=0.388430,320=1
timestamp=0.388638,B2=1
timestamp=0.389398,2D0=1
timestamp=0.394246,20=1
timestamp=0.394492,223=1
timestamp=0.394740,B4=1
timestamp=0.395037,25=1
timestamp=0.395535,2C4=1
timestamp=0.395845,22=1
timestamp=0.396065,23=1
timestamp=0.397585,2C1=1
timestamp=0.400313,B0=1
timestamp=0.400565,224=1
timestamp=0.400773,B2=1
timestamp=0.404767,2C6=1
timestamp=0.406259,20=1
timestamp=0.406527,B4=1
timestamp=0.407050,25=1
timestamp=0.407846,22=1
timestamp=0.408070,23=1
timestamp=0.412354,B0=1
timestamp=0.412580,B2=1
timestamp=0.417034,340=1
timestamp=0.418310,20=1
timestamp=0.418556,223=1
timestamp=0.418804,B4=1
timestamp=0.419052,25=1
timestamp=0.419288,2C4=1
timestamp=0.419904,22=1
timestamp=0.420125,23=1
timestamp=0.421155,2D0=1
timestamp=0.424401,B0=1
timestamp=0.424653,224=1
timestamp=0.424861,B2=1
timestamp=0.429333,2C1=1
timestamp=0.430349,20=1
timestamp=0.430617,B4=1
timestamp=0.430747,57A=1
timestamp=0.431066,25=1
timestamp=0.431947,22=1
timestamp=0.432174,23=1
timestamp=0.434035,4CE=1
timestamp=0.436449,B0=1
timestamp=0.436694,2C6=1
timestamp=0.436902,B2=1
timestamp=0.437054,320=1
timestamp=0.442428,20=1
timestamp=0.442674,223=1
timestamp=0.442922,B4=1
timestamp=0.443161,25=1
timestamp=0.443397,2C4=1
timestamp=0.444021,22=1
timestamp=0.444245,23=1
timestamp=0.448521,B0=1
timestamp=0.448773,224=1
timestamp=0.448981,B2=1
timestamp=0.452887,2D0=1
timestamp=0.454507,20=1
timestamp=0.454775,B4=1
timestamp=0.455073,25=1
timestamp=0.456107,22=1
timestamp=0.456327,23=1
timestamp=0.460603,B0=1
timestamp=0.460830,B2=1
timestamp=0.461070,2C1=1
timestamp=0.465145,340=1
timestamp=0.466192,2C4=1
timestamp=0.466584,20=1
timestamp=0.466830,223=1
timestamp=0.467068,25=1
timestamp=0.467316,B4=1
timestamp=0.468174,22=1
timestamp=0.468396,23=1
timestamp=0.468641,2C6=1
timestamp=0.472652,B0=1
timestamp=0.472905,224=1
timestamp=0.473113,B2=1
timestamp=0.478617,20=1
timestamp=0.478885,B4=1
timestamp=0.479123,25=1
timestamp=0.480209,22=1
timestamp=0.480429,23=1
timestamp=0.484633,2D0=1
timestamp=0.484843,B0=1
timestamp=0.484995,320=1
timestamp=0.485204,B2=1
timestamp=0.485630,56A=1
timestamp=0.489733,2C4=1
timestamp=0.490685,20=1
timestamp=0.490932,223=1
timestamp=0.491180,B4=1
timestamp=0.491418,25=1
